Data,Time,Tournament,Home_team,H_S,A_S,Away_team,Match_ID,TEC_result,Field_referee,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-26,19:30,SFL League,TEC,3,0,Futbolo Broliai,20356,won,Kadis Jugas,Panerio stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-29,16:30,SFL League,Lentvaris,3,0,TEC,20384,lost,Artiom Gutovskij,Trakų (naujas) stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-07,16:30,SFL League,TEC,7,3,Mostiškės-Tonitra,20413,won,Robertas Valikonis,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18,18:30,SFL League,TEC,8,0,Pagiriai,20506,won,Franc Butkevič,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-25,19:00,SFL League,Salininkai,2,0,TEC,20523,lost,Roman Osipov,Dilgynės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,16:45,SFL League,TEC,4,0,Širvintos-VGTU-Vilkai,20545,won,Deividas Malžinskas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-08,20:15,SFL League,TEC,1,4,Vova,20559,lost,Kiril Sidorov,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15,16:00,SFL League,Top Kickers,2,0,TEC,20580,lost,Roman Osipov,Fabijoniškių VFM stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,15:00,SFL League,TEC,0,6,Viesulas,20597,lost,Benas Kikutis,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,11:15,SFL League,Viltis B,0,2,TEC,20614,won,Kasparas Guobys,LFF stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-05,10:05,SFL League,TEC,1,3,Ave.Ko.,20633,lost,Romualdas Cviklinskis,LFF stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
